"x"
"HFE|3077"
"DDX39|10212"
"TM4SF19|116211"
"TBC1D17|79735"
"POLR2F|5435"
"MRPL45|84311"
"PIK3CA|5290"
"CLEC3B|7123"
"FAM120C|54954"
"MED21|9412"
"BBOX1|8424"
"FNDC4|64838"
"VCAN|1462"
"PAIP2B|400961"
"TRIM52|84851"
"TAS1R3|83756"
"ZNF193|7746"
"MEN1|4221"
"C11orf80|79703"
"RBM22|55696"
"ZNF643|65243"
"TBCB|1155"
"CCDC28B|79140"
"KRT31|3881"
"ASB13|79754"
"NDUFB3|4709"
"HSPB1|3315"
"SLC16A13|201232"
"PPP2R1B|5519"
"PSME1|5720"
"CD34|947"
"C3orf38|285237"
"LOC729603|729603"
"ATP6V1A|523"
"DDX20|11218"
"TOP1MT|116447"
"PACSIN3|29763"
"TMEM64|169200"
"PAOX|196743"
"C3orf39|84892"
"CXCR7|57007"
"GYPC|2995"
"MAF1|84232"
"MME|4311"
"SMG5|23381"
"RASEF|158158"
"HBXIP|10542"
"NPAT|4863"
"SAPS1|22870"
"IMP4|92856"
"TNFRSF17|608"
"RASSF9|9182"
"SSX2IP|117178"
"BAK1|578"
"IER3|8870"
"ASB7|140460"
"SOCS4|122809"
"TMED7-TICAM2|100302736"
"EXOSC6|118460"
"CD81|975"
"DDX31|64794"
"BCL7C|9274"
"MYLIP|29116"
"MANF|7873"
"ZMYND19|116225"
"PREP|5550"
"HSPA7|3311"
"ADIPOR2|79602"
"RPL17|6139"
"KCNN4|3783"
"PAQR4|124222"
"TYMS|7298"
"ZFYVE21|79038"
"ASH1L|55870"
"SLC25A40|55972"
"COG4|25839"
"ZNF468|90333"
"ARL5B|221079"
"STON1|11037"
"WNK2|65268"
"WDR52|55779"
"C20orf11|54994"
"TIMM44|10469"
"SNX2|6643"
"LRRC33|375387"
"PPM1D|8493"
"ZNF254|9534"
"ARHGAP23|57636"
"APLF|200558"
"PRKD2|25865"
"LRRN4CL|221091"
"DCAF10|79269"
"DNPEP|23549"
"KIAA1958|158405"
"KIAA0528|9847"
"ZNF784|147808"
"PKMYT1|9088"
"AFAP1L1|134265"
"TMCO7|79613"
"ROM1|6094"
"C2orf27A|29798"
"PLN|5350"
"MGC23270|196872"
"CNTNAP3|79937"
"TSPAN15|23555"
"JUP|3728"
"LLGL2|3993"
"SIRT3|23410"
"PHF14|9678"
"PSMB8|5696"
"PCSK4|54760"
"SPPL2A|84888"
"RARRES3|5920"
"TOP1|7150"
"KBTBD10|10324"
"ING5|84289"
"ZNF773|374928"
"BTBD7|55727"
"EGLN3|112399"
"ZNF841|284371"
"RWDD2B|10069"
"PRR22|163154"
"OGT|8473"
"TWF2|11344"
"NRG1|3084"
"ITGA2|3673"
"SLC1A2|6506"
"PSMA4|5685"
"LOC647979|647979"
"LOC115110|115110"
"C9orf82|79886"
"RBM45|129831"
"FAM175A|84142"
"CD207|50489"
"AP4S1|11154"
"TPD52L2|7165"
"ACVR1C|130399"
"TSPAN18|90139"
"EFNA3|1944"
"RRP7A|27341"
"RINT1|60561"
"L3MBTL3|84456"
"CSGALNACT1|55790"
"TTLL4|9654"
"TOPBP1|11073"
"CLASP2|23122"
"SCARF1|8578"
"MRPL42|28977"
"KCNH3|23416"
"NEXN|91624"
"LGALS2|3957"
"H3F3A|3020"
"C14orf139|79686"
"SDK1|221935"
"AFF1|4299"
"BIK|638"
"CSNK2B|1460"
"SC4MOL|6307"
"CYR61|3491"
"PKHD1|5314"
"BTAF1|9044"
"RNF215|200312"
"LPHN1|22859"
"ARHGEF10|9639"
"TUBGCP2|10844"
"SCAF1|58506"
"ITPKA|3706"
"YTHDF2|51441"
"GNL3L|54552"
"MGST3|4259"
"CPNE7|27132"
"TARBP2|6895"
"SLC6A1|6529"
"EIF2C1|26523"
"FOXO1|2308"
"TCF3|6929"
"CACNA2D1|781"
"ALDH4A1|8659"
"PBX2|5089"
"MAEA|10296"
"VPS33B|26276"
"RPRD1A|55197"
"ANKRD16|54522"
"C12orf26|84190"
"SARS|6301"
"GALNT7|51809"
"MTHFD1|4522"
"MTMR1|8776"
"SH3RF2|153769"
"TIAM1|7074"
"SNRPD2|6633"
"SLC47A1|55244"
"C5orf62|85027"
"ASB9|140462"
"ProSAPiP1|9762"
"MAFB|9935"
"C1orf126|200197"
"RUFY3|22902"
"TNFRSF6B|8771"
"AP2A1|160"
"TDRD7|23424"
"STX4|6810"
"RPL13AP6|644511"
"OVGP1|5016"
"AP1S1|1174"
"LOC652276|652276"
"WDR6|11180"
"CISD1|55847"
"TGFBRAP1|9392"
"MLH3|27030"
"WNT10B|7480"
"SSNA1|8636"
"EXOG|9941"
"ZNF525|170958"
"GCA|25801"
"C17orf42|79736"
"PHF12|57649"
"S100A8|6279"
"LOC401052|401052"
"ID4|3400"
"TIMM17B|10245"
"TUBA4A|7277"
"KLK11|11012"
"CHST1|8534"
"UCK2|7371"
"TRMU|55687"
"ANTXR2|118429"
"WDR73|84942"
"ADAMTS12|81792"
"GRIN3A|116443"
"PPFIBP1|8496"
"CCRL2|9034"
"SATB1|6304"
"DDX41|51428"
"PKIA|5569"
"ZNF630|57232"
"EP400NL|347918"
"DGCR6|8214"
"ARHGDIB|397"
"RRN3|54700"
"FAM55C|91775"
"TPST2|8459"
"IFNGR1|3459"
"PALB2|79728"
"FHOD3|80206"
"THOC5|8563"
"XK|7504"
"TARS|6897"
"GHR|2690"
"CNNM1|26507"
"SLC43A1|8501"
"CELF2|10659"
"NES|10763"
"SEC22A|26984"
"PPP5C|5536"
"CDADC1|81602"
"LOC613037|613037"
"OSBP2|23762"
"ZNF566|84924"
"CHRDL2|25884"
"KCNAB3|9196"
"ZBTB22|9278"
"ORC5L|5001"
"HIST1H2BE|8344"
"B3GALT4|8705"
"KIAA2026|158358"
"ADAMTSL2|9719"
"CHN2|1124"
"C1orf151|440574"
"CCDC59|29080"
"ADCK1|57143"
"RNASEK|440400"
"HRH1|3269"
"TNFRSF12A|51330"
"PITPNM1|9600"
"ZNF787|126208"
"SRP9|6726"
"ERICH1|157697"
"C7orf23|79161"
"MAGEA2|4101"
"PTGFR|5737"
"PNRC1|10957"
"SPRED1|161742"
"ZMYND8|23613"
"GIMAP1|170575"
"TBKBP1|9755"
"CEP350|9857"
"CRKL|1399"
"GJB2|2706"
"RXRB|6257"
"USP19|10869"
"BDH2|56898"
"POU6F1|5463"
"THNSL2|55258"
"YWHAZ|7534"
"DNAJA3|9093"
"CCT6A|908"
"MRPL35|51318"
"ULK3|25989"
"IVD|3712"
"ROBO2|6092"
"PCBP1|5093"
"NDUFAF1|51103"
"POLR3K|51728"
"BAIAP2L2|80115"
"UBE2H|7328"
"OMD|4958"
"HSD17B4|3295"
"UCP3|7352"
"METTL13|51603"
"SEMA4B|10509"
"OXSR1|9943"
"CHIC2|26511"
"XPNPEP3|63929"
"MTSS1L|92154"
"PCNXL2|80003"
"CTDP1|9150"
"C6orf105|84830"
"DNAJB5|25822"
"SPOP|8405"
"MAPK4|5596"
"INTS8|55656"
"CHD4|1108"
"GK5|256356"
"EIF2B4|8890"
"PON2|5445"
"SPOCK2|9806"
"DNAJC24|120526"
"ZBTB43|23099"
"KCNK1|3775"
"ABCA8|10351"
"MPRIP|23164"
"TNFRSF1A|7132"
"NCRNA00181|503538"
"PAIP1|10605"
"COMMD10|51397"
"KIF18A|81930"
"CDRT4|284040"
"CST6|1474"
"PCYT1B|9468"
"SRPK3|26576"
"ATP6V0E2|155066"
"RAD23B|5887"
"EI24|9538"
"BASP1|10409"
"PVR|5817"
"RIT1|6016"
"GNAQ|2776"
"TP53|7157"
"KCTD7|154881"
"TTC22|55001"
"TMEM86A|144110"
"NOL11|25926"
"PES1|23481"
"VAMP4|8674"
"HRNR|388697"
"OGFR|11054"
"CXCR1|3577"
"SHARPIN|81858"
"RASGRP1|10125"
"GTF2IRD2B|389524"
"GPC3|2719"
"CD320|51293"
"KIAA0649|9858"
"DYRK3|8444"
"C13orf31|144811"
"GLA|2717"
"GAPVD1|26130"
"PDS5B|23047"
"COPS7A|50813"
"ICT1|3396"
"FAM19A5|25817"
"CXCR2|3579"
"GPRC5C|55890"
"ADAR|103"
"MPEG1|219972"
"GRK4|2868"
"PFDN4|5203"
"LRRC16A|55604"
"NDUFA10|4705"
"PI16|221476"
"NCAM1|4684"
"HDX|139324"
"KDR|3791"
"ZG16B|124220"
"SLC6A2|6530"
"LHPP|64077"
"TMC6|11322"
"TECPR2|9895"
"CUX1|1523"
"SLC7A1|6541"
"MRPL37|51253"
"SESN3|143686"
"RTEL1|51750"
"C11orf75|56935"
"FASTKD2|22868"
"KIAA1586|57691"
"DDTL|100037417"
"AP2A2|161"
"DSG3|1830"
"PTGER3|5733"
"THUMPD2|80745"
"UBR5|51366"
"DDN|23109"
"CTDSP2|10106"
"GFRA1|2674"
"ARHGAP18|93663"
"CAMKK1|84254"
"RAPGEF5|9771"
"CHD1L|9557"
"ACSS3|79611"
"ZNF682|91120"
"YTHDC2|64848"
"PTPRF|5792"
"C2orf18|54978"
"NRSN2|80023"
"CSF1R|1436"
"VPS37A|137492"
"BRI3BP|140707"
"LOC283050|283050"
"ASGR2|433"
"GNA12|2768"
"BUD13|84811"
"WDR24|84219"
"IL12RB1|3594"
"TMCO6|55374"
"LAMC3|10319"
"LOC440173|440173"
"NKTR|4820"
"ELOVL2|54898"
"LASS2|29956"
"FAM35B|414241"
"CHKB-CPT1B|386593"
"TRAF3IP1|26146"
"C19orf12|83636"
"DOC2A|8448"
"PLCB2|5330"
"SELK|58515"
"PPP1R13B|23368"
"S100A10|6281"
"CST7|8530"
"GUCY1B3|2983"
"ELOVL4|6785"
"PAF1|54623"
"ZCCHC11|23318"
"TMED8|283578"
"RAPGEF6|51735"
"JAM2|58494"
"C10orf28|27291"
"PSD3|23362"
"FER|2241"
"DBT|1629"
"RAB13|5872"
"PHLDA3|23612"
"C14orf129|51527"
"ACLY|47"
"MYO1D|4642"
"BIRC5|332"
"YY1|7528"
"APH1A|51107"
"OGG1|4968"
"MOCS2|4338"
"ALKBH7|84266"
"FANCL|55120"
"AGR3|155465"
"TMIE|259236"
"LRRC49|54839"
"FRMD4A|55691"
"FBXO10|26267"
"QARS|5859"
"KLHDC3|116138"
"THEM5|284486"
"ZNF438|220929"
"ABCA4|24"
"PILRA|29992"
"C12orf4|57102"
"TMEM57|55219"
"SNX14|57231"
"CDK2AP2|10263"
"SF3A2|8175"
"MRPL9|65005"
"ZKSCAN4|387032"
"CD248|57124"
"PSMA1|5682"
"SRRM5|100170229"
"GTF2A1|2957"
"EGFR|1956"
"MAP1LC3B|81631"
"NUFIP1|26747"
"GNLY|10578"
"AGPAT5|55326"
"FAM119B|25895"
"USP12|219333"
"SCARA5|286133"
"PIK3R3|8503"
"ARHGEF37|389337"
"SPDYE6|729597"
"EYA1|2138"
"C6orf114|85411"
"RANBP10|57610"
"MRPL36|64979"
"FAAH|2166"
"SLC25A24|29957"
"RIPK2|8767"
"HAUS7|55559"
"CEP57|9702"
"SLC27A1|376497"
"PITX2|5308"
"C14orf126|112487"
"ZNF304|57343"
"CD300A|11314"
"APOL3|80833"
"ZNF77|58492"
"C1orf113|79729"
"TRPV1|7442"
"DNAJC17|55192"
"ZMYND15|84225"
"COMT|1312"
"C14orf104|55172"
"SSRP1|6749"
"DKK2|27123"
"KDM6A|7403"
"GLTP|51228"
"COX5B|1329"
"MDGA1|266727"
"SLC38A3|10991"
"CLTC|1213"
"CDS1|1040"
"SLC22A5|6584"
"RSPRY1|89970"
"OAS3|4940"
"IFT74|80173"
"PACRGL|133015"
"RSC1A1|6248"
"EFHC2|80258"
"RPUSD4|84881"
"PARK7|11315"
"VPS24|51652"
"EIF4A1|1973"
"WLS|79971"
"ARHGAP19|84986"
"EXOC6|54536"
"RABL3|285282"
"HIVEP3|59269"
"AKR1B1|231"
"FARSA|2193"
"KRT14|3861"
"PRKDC|5591"
"LOC440944|440944"
"CNKSR3|154043"
"PPP2R4|5524"
"HLA-F|3134"
"SLA2|84174"
"TMEM206|55248"
"PDPN|10630"
"CLSTN3|9746"
"PIP4K2A|5305"
"NLRC4|58484"
"CALM2|805"
"EAPP|55837"
"NCOA6|23054"
"IGFBP4|3487"
"ZNF717|100131827"
"SIKE1|80143"
"F2R|2149"
"RRM1|6240"
"FAM120A|23196"
"DPYSL3|1809"
"IER5L|389792"
"MED8|112950"
"CENPW|387103"
"CITED2|10370"
"C11orf54|28970"
"MBD1|4152"
"FAM21C|253725"
"NOMO3|408050"
"LRRC24|441381"
"HIF1A|3091"
"RAC1|5879"
"APOL4|80832"
"ELTD1|64123"
"SPOCK3|50859"
"EED|8726"
"EYA2|2139"
"ESPL1|9700"
"NKX3-1|4824"
"ZNF792|126375"
"LY6K|54742"
"PDIA2|64714"
"EIF4E3|317649"
"NOC3L|64318"
"LIN7B|64130"
"PLEKHG4|25894"
"VSIG10|54621"
"CLEC12A|160364"
"SPAG7|9552"
"EWSR1|2130"
"PSMD5|5711"
"?|8225"
"SLC45A1|50651"
"EBPL|84650"
"SEC63|11231"
"MANEA|79694"
"EGFL6|25975"
"CC2D1B|200014"
"N4BP2|55728"
"ARPC4|10093"
"RGPD4|285190"
"LOC729991|729991"
"IL1B|3553"
"KYNU|8942"
"NCRNA00182|100302692"
"BLOC1S2|282991"
"GPX7|2882"
"CEP192|55125"
"TPT1|7178"
"CCR4|1233"
"SLC2A3|6515"
"ARHGEF4|50649"
"MAT2A|4144"
"LPL|4023"
"EVL|51466"
"GRINL1A|81488"
"TRAP1|10131"
"MARCH5|54708"
"TROVE2|6738"
"CPSF4|10898"
"PHKG2|5261"
"LRRC39|127495"
"BTBD12|84464"
"C6orf64|55776"
"ZNF710|374655"
"PRICKLE2|166336"
"CNPY2|10330"
"NCRNA00188|125144"
"C10orf110|55853"
"TLK2|11011"
"PQLC2|54896"
"CCL14|6358"
"LTB4R|1241"
"CDON|50937"
"ZNF248|57209"
"PRAP1|118471"
"PLEKHF1|79156"
"RFC4|5984"
"C14orf132|56967"
"CRELD2|79174"
"CTBP1|1487"
"KLRG1|10219"
"NPTX2|4885"
"TMEM167B|56900"
"PDCL|5082"
"RGPD6|729540"
"BTN3A2|11118"
"STK32B|55351"
"NOP56|10528"
"C15orf33|196951"
"COPS2|9318"
"NOP14|8602"
"KPNA3|3839"
"SERPINB11|89778"
"SMCR7L|54471"
"NDUFV3|4731"
"ZNF860|344787"
"LOC344595|344595"
"NME2P1|283458"
"KIF12|113220"
"SLC41A3|54946"
"ZNF574|64763"
"LOC100272228|100272228"
"CYB561D1|284613"
"C15orf61|145853"
"PDF|64146"
"MIF|4282"
"PLXDC1|57125"
"CRB3|92359"
"CDX1|1044"
"SEH1L|81929"
"ATP6AP2|10159"
"EFCAB2|84288"
"GSTA1|2938"
"HSH2D|84941"
"CDK9|1025"
"SCP2|6342"
"C12orf51|283450"
"RAB31|11031"
"FBRSL1|57666"
"LAPTM4A|9741"
"PRMT7|54496"
"EPM2A|7957"
"WASH5P|375690"
"FBXO46|23403"
"CUL3|8452"
"ABHD5|51099"
"NLN|57486"
"C19orf28|126321"
"LITAF|9516"
"CDK8|1024"
"PRKAR2B|5577"
"SFT2D3|84826"
"SCRN3|79634"
"COL9A3|1299"
"RPL31|6160"
"ACP6|51205"
"PLA2G7|7941"
"CD36|948"
"CHI3L2|1117"
"GLT8D2|83468"
"CCDC114|93233"
"BCAN|63827"
"UGCG|7357"
"ELF4|2000"
"ATF4|468"
"OTX1|5013"
"TMEM180|79847"
"FBXL20|84961"
"EPRS|2058"
"HSD17B11|51170"
"SRP68|6730"
"CLDN12|9069"
"GLI3|2737"
"TAF6|6878"
"KDM4D|55693"
"PPARGC1B|133522"
"ZWINT|11130"
"METTL3|56339"
"SLC2A5|6518"
"ZFP82|284406"
"SLC26A10|65012"
"C11orf31|280636"
"CDKL3|51265"
"SPNS2|124976"
"SLC6A16|28968"
"CNTN3|5067"
"GIT2|9815"
"DHFRL1|200895"
"OSGIN1|29948"
"GLTPD1|80772"
"DHDH|27294"
"EPHB6|2051"
"FLOT2|2319"
"CLEC4E|26253"
"DTNB|1838"
"C3orf57|165679"
"MAP3K13|9175"
"ZXDB|158586"
"EPHX2|2053"
"PLSCR3|57048"
"HDAC10|83933"
"TSPO|706"
"HLA-H|3136"
"RAB2A|5862"
"AHNAK|79026"
"PGCP|10404"
"DNASE1|1773"
"THOP1|7064"
"UQCRB|7381"
"EIF2B3|8891"
"RAB23|51715"
"FAM83C|128876"
"C15orf24|56851"
"TET3|200424"
"MMRN1|22915"
"C19orf43|79002"
"UTP14A|10813"
"OLFM2|93145"
"SLC29A3|55315"
"PRR7|80758"
"SYF2|25949"
"C11orf45|219833"
"RIPK4|54101"
"YTHDC1|91746"
"C19orf42|79086"
"MLEC|9761"
"ACOX2|8309"
"PAPSS2|9060"
"RAB32|10981"
"JAM3|83700"
"GPR137B|7107"
"MRPL34|64981"
"SOX10|6663"
"HIBADH|11112"
"TIAM2|26230"
"RNASEL|6041"
"SNAPC5|10302"
"LOC146880|146880"
"POLR3G|10622"
"ZSWIM3|140831"
"ABI2|10152"
"DKC1|1736"
"MAMSTR|284358"
"OGFOD2|79676"
"C22orf36|388886"
"MECOM|2122"
"TRAPPC2|6399"
"PTPRB|5787"
"C4orf31|79625"
"BCKDK|10295"
"LARP4B|23185"
"DTX1|1840"
"MPG|4350"
"ASXL1|171023"
"EML6|400954"
"C3orf58|205428"
"HOXA11|3207"
"NCRNA00171|80862"
"FAM54A|113115"
"FBRS|64319"
"PTPN4|5775"
"TPD52L1|7164"
"LOC643387|643387"
"PRKAR1B|5575"
"HLA-DOA|3111"
"ELK1|2002"
"MRPL52|122704"
"MAST1|22983"
"XPO7|23039"
"FLYWCH1|84256"
"PVRL3|25945"
"HNRNPA1L2|144983"
"SCO1|6341"
"FTHL3|2498"
"UBR7|55148"
"MRPL48|51642"
"VAV3|10451"
"MFSD2B|388931"
"LOC728743|728743"
"LRRC1|55227"
"ZNF788|388507"
"MYST1|84148"
"SSBP1|6742"
"TMEM120A|83862"
"FCGR2A|2212"
"KEAP1|9817"
"FGFR1OP2|26127"
"ROS1|6098"
"ZNF143|7702"
"C17orf44|284029"
"PGBD4|161779"
"MIER2|54531"
"CLCF1|23529"
"LOC728855|728855"
"NEDD4L|23327"
"FAM53C|51307"
"CMPK2|129607"
"DNAJC10|54431"
"ANKRD2|26287"
"C16orf42|115939"
"SLC26A9|115019"
"PDDC1|347862"
"OMA1|115209"
"ZNF79|7633"
"ZNF497|162968"
"LOC100131193|100131193"
"TSN|7247"
"KRCC1|51315"
"ACBD6|84320"
"C9orf130|100128782"
"SRPX2|27286"
"FCRL6|343413"
"OTUD4|54726"
"NHP2L1|4809"
"B3GNT4|79369"
"BRCA1|672"
"E2F6|1876"
"BBS9|27241"
"TRAPPC3|27095"
"ZNF467|168544"
"CYSLTR1|10800"
"BTK|695"
"IDH1|3417"
"C5orf53|492311"
"PRTFDC1|56952"
"GPR97|222487"
"INADL|10207"
"SLC12A4|6560"
"NDUFAF2|91942"
"EXTL3|2137"
"POU4F1|5457"
"SCNN1B|6338"
"BDH1|622"
"ST6GAL2|84620"
"XPNPEP2|7512"
"ZNF331|55422"
"PPIL4|85313"
"CLTA|1211"
"PRDM11|56981"
"CFD|1675"
"RCOR2|283248"
"ZBTB6|10773"
"SFRP1|6422"
"KIF15|56992"
"SLC47A2|146802"
"C12orf72|254013"
"GPR84|53831"
"ANKRD35|148741"
"FAIM3|9214"
"AFTPH|54812"
"CCND2|894"
"HMGN5|79366"
"PFKFB3|5209"
"NOVA1|4857"
"SPATA2L|124044"
"NKPD1|284353"
"C17orf69|147081"
"PSME2|5721"
"C16orf57|79650"
"PLOD3|8985"
"SPRR1B|6699"
"JUND|3727"
"APOBEC3D|140564"
"TNFRSF10C|8794"
"RNF39|80352"
"DMPK|1760"
"PLCD3|113026"
"KREMEN2|79412"
"FAM3C|10447"
"GM2A|2760"
"CTNNA1|1495"
"FCGR1B|2210"
"FBN1|2200"
"N4BP3|23138"
"DCAF5|8816"
"ARHGAP25|9938"
"THYN1|29087"
"NLGN4Y|22829"
"PLEKHH1|57475"
"PRMT3|10196"
"ARID1A|8289"
"LOXL3|84695"
"ZNF780B|163131"
"HOMEZ|57594"
"HPSE|10855"
"C5orf39|389289"
"URB1|9875"
"KIAA1539|80256"
"KIF1C|10749"
"QSOX1|5768"
"NUMB|8650"
"COG1|9382"
"C14orf143|90141"
"EVPL|2125"
"ADO|84890"
"ALDH16A1|126133"
"CALR|811"
"GPN2|54707"
"FAM3B|54097"
"C14orf101|54916"
"NGFRAP1|27018"
"CCT2|10576"
"C4orf52|389203"
"AOAH|313"
"HOXC8|3224"
"ISY1|57461"
"FKBP1A|2280"
"CWC22|57703"
"ANK1|286"
"RPA1|6117"
"ZNF518A|9849"
"LIMA1|51474"
"MGST1|4257"
"TMCO3|55002"
"IKBIP|121457"
"ZNF585B|92285"
"FLT3LG|2323"
"STK24|8428"
"CAMSAP1|157922"
"GTF2E1|2960"
"SERPINF2|5345"
"BBC3|27113"
"PCDHGA5|56110"
"EFHA2|286097"
"SMPD4|55627"
"PCGF1|84759"
"FRMD5|84978"
"ZNF205|7755"
"ATN1|1822"
"MAPKBP1|23005"
"TIMM8A|1678"
"CACNA1I|8911"
"TBC1D3|729873"
"RPL39L|116832"
"STIM2|57620"
"GLCE|26035"
"SLITRK4|139065"
